ticket_id,ticket_text,category
1,My internet connection is not working,Internet Issue
2,I forgot my password and cannot login to my account,Account Login
3,My payment was declined while making a purchase,Payment Issue
4,The mobile application crashes when I open it,App Problem
5,I want to cancel my subscription plan,Subscription
6,My order has not arrived yet,Delivery Issue
7,I received a damaged product,Product Issue
8,Someone hacked my account and changed my password,Security
9,I need help updating my profile details,Account Management
10,The website is showing an unexpected error,Website Error
